"","NMDS1","NMDS2","site"
"1",-0.118572917296167,-0.299028403298763,"1961s"
"2",-0.496463312499218,-0.158677149974561,"1961r"
"3",-0.129087774545414,-0.261189606836014,"1962s"
"4",-0.206569486036928,-0.21896694298725,"1962r"
"5",0.53829918867151,0.0365254584009187,"1987s"
"6",0.396961223032778,0.312751941245507,"1987r"
"7",0.268357835229882,-0.2840254084667,"1988s"
"8",0.212342284306123,-0.138897268035048,"1988r"
"9",-0.11924240626229,0.523525736791087,"2020s2"
"10",-0.346024634600276,0.487981643160823,"2020r2"
